ELCODE_BCD,sp_code_calc
AFBAA02020,lampappe
AFBAA03010,petrmari
AFC4E02040,cottbail
AFC4E02050,cottbair
AFC4E02070,cottcaro
AFC4E02080,cottcogn
AFC4E02120,cottgira
AFC4E02280,uransp1
AFC4E02300,uransp4
AFC4E02310,uransp5
AFC4E02320,cottcaer
AFC4E02410,cottkana
AFCAA01010,acipbrev
AFCBA01020,lepiosse
AFCCA01010,amiacalv
AFCEA01010,angurost
AFCFA01010,alosaest
AFCFA01040,alosmedi
AFCFA01050,alospseu
AFCFA01060,alossapi
AFCFA02010,dorocepe
AFCFA02020,doropete
AFCHA02090,paramyki
AFCHA04070,salmtrut
AFCHA05030,salvfont
AFCHC03020,umbrpygm
AFCHD01010,esoxamer
AFCHD01020,esoxluci
AFCHD01030,esoxmasq
AFCHD01040,esoxnige
AFCJB03010,campanom
AFCJB03020,campolig
AFCJB04010,caraaura
AFCJB05020,clinfund
AFCJB07010,ctenidel
AFCJB08010,cyprcarp
AFCJB12010,exoglaur
AFCJB12020,exogmaxi
AFCJB15020,hyboambl
AFCJB15030,hybohyps
AFCJB16060,hyboregi
AFCJB26040,nocolept
AFCJB26050,nocomicr
AFCJB26060,nocoplat
AFCJB26070,nocorane
AFCJB27010,notecrys
AFCJB28030,notralti
AFCJB28060,notramoe
AFCJB28100,notrario
AFCJB28180,notrbifr
AFCJB28310,notrchal
AFCJB28330,notrchil
AFCJB28550,notrhuds
AFCJB28600,notrleuc
AFCJB28740,notrphot
AFCJB28770,notrproc
AFCJB28810,notrrube
AFCJB28820,notrrubr
AFCJB28840,notrscab
AFCJB28860,notrsemp
AFCJB28900,notrspec
AFCJB28930,notrstra
AFCJB28940,notrtele
AFCJB28A10,notrvolu
AFCJB28C10,notrsp1
AFCJB28D10,notrmicr
AFCJB28X40,notrsp4
AFCJB30020,phencras
AFCJB30030,phenmira
AFCJB30040,phentere
AFCJB30050,phenuran
AFCJB31050,phoxorea
AFCJB31080,chrosp1
AFCJB32010,pimenota
AFCJB32020,pimeprom
AFCJB32040,pimevigi
AFCJB37010,rhinatra
AFCJB37020,rhincata
AFCJB37160,rhinobtu
AFCJB41010,semoatro
AFCJB41020,semocorp
AFCJB43010,tinctinc
AFCJB49010,cypranal
AFCJB49090,cyprgala
AFCJB49110,cyprlabr
AFCJB49190,cyprspil
AFCJB50020,erimdiss
AFCJB50040,eriminsi
AFCJB51010,luxialbe
AFCJB51030,luxicera
AFCJB51040,luxichry
AFCJB51050,luxicocc
AFCJB51060,luxicorn
AFCJB52010,lytharde
AFCJB52050,lythliru
AFCJB54010,margmarg
AFCJB60010,ericbucc
AFCJC01020,carpcypr
AFCJC02060,catocomm
AFCJC05010,erimoblo
AFCJC05020,erimsuce
AFCJC06020,hypenigr
AFCJC06030,hyperoan
AFCJC10010,moxoanis
AFCJC10040,moxocari
AFCJC10070,moxoduqu
AFCJC10080,moxoeryt
AFCJC10110,moxomacr
AFCJC10112,moxobrev
AFCJC10120,moxopapp
AFCJC10150,moxorobu
AFCJC10200,moxolace
AFCJC10230,moxocoll
AFCJC13020,thobhami
AFCJC13030,thobrhot
AFCJC14010,moxosp4
AFCJC14020,moxoario
AFCJC14030,scarcerv
AFCKA01030,ictafurc
AFCKA01100,ictapunc
AFCKA02040,notueleu
AFCKA02070,notuflav1
AFCKA02110,notugyri
AFCKA02130,notuinsi
AFCKA03010,pylooliv
AFCKA06010,ameibrun
AFCKA06020,ameicatu
AFCKA06030,ameimela
AFCKA06040,ameinata
AFCKA06050,ameinebu
AFCKA06060,ameiplat
AFCLA02020,cholcorn
AFCLB01010,aphrsaya
AFCLC01010,percomis
AFCNB04020,fundcate
AFCNB04050,fundconf
AFCNB04060,funddiap
AFCNB04080,fundhete
AFCNB04100,fundline
AFCNB04160,fundrath
AFCNC02100,gambholb
AFCND01020,labisicc
AFCPA03010,gastacul
AFCQA01010,moroamer
AFCQA01020,morochry
AFCQA01040,morosaxa
AFCQB05010,acanpomo
AFCQB06010,amblcavi
AFCQB06040,amblrupe
AFCQB08010,centmacr
AFCQB10020,enneglor
AFCQB10030,enneobes
AFCQB11010,lepoauri
AFCQB11020,lepocyan
AFCQB11030,lepogibb
AFCQB11040,lepogulo
AFCQB11060,lepomacr
AFCQB11070,lepomarg
AFCQB11080,lepomega
AFCQB11090,lepomicr
AFCQB12020,micrdolo
AFCQB12040,micrpunc
AFCQB12050,micrsalm
AFCQB13010,pomoannu
AFCQB13020,pomonigr
AFCQC02060,etheblen
AFCQC02090,ethecaer
AFCQC02100,ethecamu
AFCQC02H00,ethecine
AFCQC02250,etheflab
AFCQC02280,ethefusi
AFCQC02340,ethejess
AFCQC02370,ethekana
AFCQC02400,ethelong
AFCQC02490,ethenigr
AFCQC02540,etheolms
AFCQC02550,etheosbu
AFCQC02590,ethepodo
AFCQC02640,etherufi
AFCQC02690,etheserr
AFCQC02700,ethesimo
AFCQC02770,etheswan
AFCQC02850,ethevitr
AFCQC02870,ethezona
AFCQC02A10,ethevuln
AFCQC02D60,ethemead
AFCQC02F40,ethebrev
AFCQC02G00,ethetenn
AFCQC03010,percflav
AFCQC04020,percaura
AFCQC04500,percburt
AFCQC04480,perccapr
AFCQC04060,perccope
AFCQC04070,perccras
AFCQC04090,percevid
AFCQC04100,percgymn
AFCQC04140,percmacu
AFCQC04170,percnoto
AFCQC04190,percoxyr
AFCQC04220,percpelt
AFCQC04250,percroan
AFCQC04260,percscie
AFCQC04400,percnevi
AFCQC04460,percbima
AFCQC05010,sandcana
AFCQC05020,sandvitr
AFCQH01010,aplogrun
AFCSX04130,epinnigr
AMAAA01010,didevirg
AMABA01010,sorecine
AMABA01060,sorelong
AMABA01062,sorelonglong
AMABA01063,sorelongfish
AMABA01150,sorepalu1
AMABA01180,sorefume
AMABA01210,soredisp
AMABA01050,sorehoyi
AMABA01251,sorehoyiwinn
AMABA01270,sorefont
AMABA03010,blarbrev
AMABA03011,blarbrevbrev
AMABA03012,blarbrevtelm
AMABA03020,blarcaro
AMABA04010,crypparv
